銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
9432,日本電信電話(株),4674,4822,4674.667600000001,4752,4773,4674,4445600,10626982,2273394470,2.14,100.0,15.71,1.13,297.56,4131.77,467450,100,5066,3011
9433,ＫＤＤＩ(株),3166,3205,3166.9259000000006,3233,3258,3160,8553000,8520706,2690890800,2.05,65.0,16.19,2.42,195.61,1308.71,316650,100,3375,2452
9435,(株)光通信,8230,8890,8231.0774,8630,8680,8200,418200,392980,47749642,2.19,180.0,17.29,2.32,476.06,3554.32,823000,100,9940,6350
9437,(株)ＮＴＴドコモ,2634,2692,2634.9184000000005,2635,2676,2633,5549700,10763966,4085772000,2.66,70.0,21.76,1.89,121.09,1393.26,263450,100,2874,1731
9449,ＧＭＯインターネット(株),1662,1743,1661.7,1672,1719,1662,1322700,195795,117806777,1.56,26.0,21.75,5.6,76.4,296.68,166200,100,2203,904
9468,(株)ＫＡＤＯＫＡＷＡ・ＤＷＡＮＧＯ,1511,1561,1510.81,1520,1550,1500,895800,107118,70892060,1.32,20.0,26.74,1.04,56.5,1449.14,151100,100,2100,1384
9501,東京電力(株),842,873,,852,865,837,66702500,1353109,1607017531,0.0,0.0,,0.58,,1442.25,84200,100,939,442
9503,関西電力(株),1537,1633,,1553,1584,1537,4404000,1442833,938733028,,,,1.23,,1254.13,153700,100,1768,1032
9513,Ｊ−ＰＯＷＥＲ,3960,4105,3960.6749999999997,4070,4075,3960,802100,724882,183051100,1.77,70.0,14.5,1.04,273.15,3808.89,396000,100,4690,3820
9531,東京ガス(株),695,705,695.3057000000001,698,710,694,10046000,1700756,2446778295,1.44,10.0,16.67,1.51,41.71,460.97,695100,1000,805,620
9532,大阪ガス(株),515,523,515.3188,515,522,513,7863000,1073576,2083400000,1.94,10.0,14.59,1.16,35.32,443.48,515300,1000,534,427
9600,(株)アイネット,1320,1344,1320.018,1310,1344,1305,59000,19491,14765840,2.42,32.0,18.55,1.64,71.16,805.51,132000,100,1365,870
9602,東宝(株),2910,2984,2909.444,2934,2947,2906,670200,549963,188990633,0.86,25.0,25.45,1.92,114.32,1513.2,291000,100,3445,2519
9603,(株)エイチ・アイ・エス,4150,4260,4150.249400000001,4150,4180,4075,474400,284370,68522936,0.53,22.0,25.39,2.86,163.46,1448.96,415000,100,4765,3400
9613,(株)ＮＴＴデータ,5690,5870,5689.74,5770,5800,5690,860900,1596045,280500000,1.23,70.0,28.5,2.1,199.64,2713.92,569000,100,6110,4180
9616,(株)共立メンテナンス,7180,7200,7179.39,7050,7270,6900,490700,136299,18983154,0.7,50.0,28.92,2.59,248.25,2769.61,718000,100,9260,4733
9627,(株)アインファーマシーズ,5770,6040,5768.906000000001,5870,5930,5760,187300,183995,31888212,0.69,40.0,25.3,3.82,228.02,1511.57,577000,100,6880,3445
9640,(株)セゾン情報システムズ,1255,1260,1254.468,1259,1259,1250,2000,20331,16200000,,,9.77,1.75,128.4,718.71,125500,100,1610,962
9682,(株)ＤＴＳ,2692,2760,2691.445,2700,2745,2683,104200,67898,25222266,2.04,55.0,13.82,1.71,194.75,1576.03,269200,100,3085,2183
9684,(株)スクウェア・エニックス・ホールディングス,3150,3275,3150.1331999999998,3180,3210,3125,818300,385158,122272396,0.95,30.0,34.92,2.42,90.21,1300.6,315000,100,3410,2210
9719,ＳＣＳＫ(株),4225,4315,4224.761399999999,4240,4310,4200,338800,456243,107986403,1.66,70.0,19.93,3.27,211.98,1292.41,422500,100,4665,2802
9735,セコム(株),7780,7962,7778.9165,7858,7888,7780,814700,1814986,233288717,1.74,135.0,21.17,2.1,367.45,3708.65,778000,100,9041,6530
9739,ＮＳＷ,1004,1050,1003.9656,1014,1019,996,167200,14960,14900000,2.99,30.0,14.96,1.13,67.11,887.53,100400,100,1295,816
9742,(株)アイネス,1046,1104,1045.9223,1064,1072,1040,363800,33577,32100000,1.53,16.0,29.11,0.78,35.93,1346.02,104600,100,1422,851
9766,コナミ(株),2550,2618,2549.6880000000006,2609,2622,2548,936000,365925,143500000,0.82,21.0,37.2,1.59,68.54,1599.28,255000,100,2706,1900
9783,(株)ベネッセホールディングス,3265,3335,3265.1063999999997,3250,3300,3240,414800,334511,102453453,2.91,95.0,82.64,1.68,39.51,1948.03,326500,100,4030,2930
9787,イオンディライト(株),3855,4070,3854.7984,3960,4000,3845,129000,208824,54169633,1.35,52.0,21.54,2.66,178.96,1451.28,385500,100,4415,2488
9810,日鉄住金物産(株),415,434,414.87800000000004,421,424,413,959000,128475,309578001,3.61,15.0,7.33,0.75,56.6,555.86,415000,1000,468,383
9831,(株)ヤマダ電機,467,476,466.8426,473,475,463,6192000,451351,966489740,1.28,6.0,14.22,0.74,32.83,627.92,46700,100,554,376
9843,(株)ニトリホールディングス,10090,10300,10091.753700000001,10000,10160,9860,463200,1154735,114443496,0.59,60.0,25.53,3.48,395.29,2899.71,1009000,100,11850,6350
9934,因幡電機産業(株),3945,4060,3944.3392,3990,4040,3935,74000,109681,27802500,2.53,100.0,13.04,1.09,302.48,3625.12,394500,100,4525,3800
9936,(株)王将フードサービス,4015,4050,,4020,4040,4000,59900,93494,23286230,2.49,100.0,,1.88,,2139.77,401500,100,4905,3930
9948,(株)アークス,2516,2549,2516.2812,2499,2547,2493,102500,142533,56650468,1.67,42.0,19.98,1.19,125.94,2110.76,251600,100,2953,2302
9956,(株)バロー,3690,3710,3689.9366,3710,3875,3655,545400,194322,52661699,0.95,35.0,18.47,2.04,199.78,1805.18,369000,100,3875,1985
9962,(株)ミスミグループ本社,1428,1454,1428.0456,1410,1446,1407,2608200,391644,274260252,1.08,15.42,23.16,2.91,61.66,490.93,142800,100,1900,1253
9983,(株)ファーストリテイリング,52170,54040,52165.719900000004,53130,53680,52140,675800,5533863,106073656,0.67,350.0,44.31,6.48,1177.29,8048.03,5217000,100,61970,40610
9984,ソフトバンクグループ(株),7362,7642,,7492,7569,7335,10601400,8839262,1200660365,0.54,40.0,,2.24,,3279.85,736200,100,7827,6600
9989,(株)サンドラッグ,6990,7250,6991.175400000001,7100,7130,6970,239600,469487,67165592,1.0,70.0,21.67,3.54,322.62,1972.2,699000,100,7990,4665
