Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
8058	0.42	2270	2307	2211	2211	-106	-4.75	0	2263	三菱商
6856	0.49	4160	4195	4075	4075	-195	-4.76	0	4171	堀場製
9041	0.49	429	431	419	419	-21	-4.77	0	429	近鉄ＧＨＤ
6302	0.5	525	539	523	523	-26	-4.78	0	535	住友重
4185	0.41	1945	1956	1894	1902	-92	-4.78	0	1947	ＪＳＲ
4523	0.44	7785	8002	7693	7693	-369	-4.78	0	7874	エーザイ
4704	0.61	4450	4525	4315	4350	-210	-4.8	0	4454	トレンド
6146	0.39	8860	9120	8690	8700	-420	-4.82	0	8909	ディスコ
4684	0.43	5460	5570	5340	5360	-260	-4.83	0	5489	オービック
8273	0.43	5250	5390	5120	5120	-250	-4.86	0	5243	イズミ
5471	0.38	438	446	431	432	-22	-4.86	0	442	大同特鋼
2359	0.31	818	830	801	801	-40	-4.87	0	820	コア
3391	0.27	9840	9980	9600	9610	-470	-4.88	0	9842	ツルハＨＤ
1963	0.24	1843	1864	1793	1798	-89	-4.89	0	1842	日揮
9062	0.53	607	614	591	593	-30	-4.89	0	607	日通
8270	0.46	799	802	769	775	-39	-4.9	1	834	ユニーＧＨＤ
4527	0.33	2076	2127	2028	2029	-101	-4.93	0	2079	ロート
7269	0.48	4039	4120	3949	3949	-196	-4.94	0	4046	スズキ
8233	0.49	1089	1098	1050	1050	-53	-4.95	0	1076	高島屋
3088	0.28	5750	5870	5610	5640	-280	-4.95	0	5776	マツキヨＨＤ
4452	0.45	5665	5720	5492	5492	-273	-4.95	0	5627	花王
8129	0.27	2629	2689	2568	2575	-129	-4.97	0	2637	東邦ＨＤ
3099	0.51	1927	1952	1866	1874	-95	-5.02	0	1921	三越伊勢丹
9404	0.43	2168	2208	2118	2120	-108	-5.05	0	2173	日テレＨＤ
3349	0.15	15100	15420	14500	14580	-740	-5.07	0	14948	コスモス薬品
2331	0.4	4680	4835	4600	4615	-235	-5.07	0	4728	ALSOK
2726	0.17	3680	3725	3585	3605	-185	-5.1	0	3697	パル
4540	0.35	2713	2741	2647	2647	-137	-5.14	0	2715	ツムラ
9437	0.37	2537	2599	2504	2504	-130	-5.15	0	2569	ＮＴＴドコモ
