銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
2331,ＡＬＳＯＫ,5230,5270,5060,5060,5300,554200,516323,102040042,0.79,40.0,29.92,2.79,169.12,1815.83,506000,100,5910,2840
2359,(株)コア,840,840,817,822,842,7600,12194,14834580,2.43,20.0,18.92,1.54,43.45,534.32,82200,100,947,752
2371,(株)カカクコム,1904,1904,1841,1844,1928,1448400,408951,221773700,,,30.93,15.6,59.62,118.19,184400,100,2177,1580
2395,(株)新日本科学,486,489,459,460,492,158400,18297,39776000,,,169.12,1.55,2.72,296.94,46000,100,972,426
2412,(株)ベネフィット・ワン,2150,2158,1969,1975,2180,136800,89159,45144000,1.22,24.0,29.11,7.25,67.84,272.23,197500,100,3080,1225
2413,エムスリー(株),2798,2799,2685,2685,2812,1797000,868860,323597800,,,76.87,18.89,34.93,142.13,268500,100,3180,1987
2432,(株)ディー・エヌ・エー,2201,2211,2119,2120,2216,1688000,319717,150810033,,,,1.55,,1371.37,212000,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1206,1210,1158,1158,1214,789800,449950,388558100,1.55,18.0,20.65,1.65,56.08,702.58,115800,100,1467,1062
2502,アサヒグループホールディングス(株),4000,4045,3895,3895,4002,2244200,1883567,483585862,1.23,48.0,23.97,2.05,162.49,1903.8,389500,100,4395,3550
2503,キリンホールディングス(株),1770,1770,1701,1701,1782,3381200,1555171,914000000,2.23,38.0,23.17,1.84,73.42,922.8,170150,100,1915,1400
2593,(株)伊藤園,2899,2920,2687,2696,2869,967900,240517,89212380,1.48,40.0,27.47,2.61,98.14,1031.19,269600,100,3140,2075
2651,(株)ローソン,8700,8730,8350,8360,8660,396700,838508,100300000,2.93,245.0,23.75,3.31,352.0,2525.06,836000,100,9770,7190
2670,(株)エービーシー・マート,7390,7580,7170,7190,7360,620800,563111,78318671,1.39,100.0,20.99,3.42,342.57,2104.43,719000,100,8020,5490
2674,(株)ハードオフコーポレーション,1438,1464,1393,1395,1449,49100,19466,13954000,2.51,35.0,15.05,1.58,92.7,880.21,139500,100,1698,920
2681,(株)ゲオホールディングス,1835,1839,1725,1734,1841,330100,94620,54567200,1.85,32.0,20.17,1.4,85.98,1236.77,173400,100,2034,961
2695,(株)くらコーポレーション,3365,3370,3240,3240,3375,88700,67067,20699800,0.37,12.0,20.33,2.66,159.4,1220.17,324000,100,4965,2926
2702,日本マクドナルドホールディングス(株),2665,2680,2655,2663,2670,326900,354072,132960000,,,,3.02,-285.8,881.47,266300,100,2680,2451
2726,(株)パル,3580,3640,3510,3525,3610,70000,81554,23136000,1.84,65.0,14.47,2.29,243.69,1539.72,352500,100,4445,2880
2768,双日(株),254,257,248,248,257,25211200,310372,1251499501,3.23,8.0,7.76,0.52,31.97,478.96,24800,100,329,152
2780,(株)コメ兵,3005,3045,2813,2813,3050,122200,31666,11257000,1.07,30.0,15.09,1.81,186.46,1554.55,281300,100,4095,2747
2782,(株)セリア,5860,5860,5510,5510,5850,38900,208939,37920000,0.54,30.0,29.85,6.14,184.6,897.72,551000,100,6290,3300
2784,アルフレッサ　ホールディングス(株),2207,2283,2153,2153,2214,1836700,505993,235017600,1.49,32.0,20.23,1.35,106.41,1598.18,215300,100,2489,1331
2801,キッコーマン(株),3855,3870,3670,3670,3905,885000,772106,210383202,0.65,24.0,42.17,3.02,87.03,1215.52,3670000,1000,4400,2809
2802,味の素(株),2656,2695,2550,2550,2671,2924000,1516197,594470654,1.02,26.0,23.22,2.14,109.83,1191.03,2550500,1000,2960,2156
2809,キユーピー(株),2642,2643,2490,2492,2676,906100,381276,153000000,1.04,26.0,23.94,1.84,104.09,1357.88,249200,100,3645,2094
2871,(株)ニチレイ,745,746,706,707,742,1261000,209167,295851065,1.7,12.0,17.88,1.37,39.54,517.79,707000,1000,967,532
2875,東洋水産(株),4560,4580,4375,4380,4550,540200,485659,110881044,1.37,60.0,24.85,1.76,176.25,2485.39,438000,100,5020,3770
2897,日清食品ホールディングス(株),5760,5770,5470,5470,5760,348900,642526,117463685,1.46,80.0,30.15,1.64,181.43,3338.12,547000,100,6620,5110
2914,ＪＴ,4321,4339,4152,4152,4329,3055900,8305000,2000000000,2.6,108.0,15.87,2.97,261.68,1396.31,415250,100,4848,3101
2915,ケンコーマヨネーズ(株),1660,1660,1590,1590,1667,24100,22595,14211000,1.57,25.0,12.77,1.22,124.55,1305.27,159000,100,1793,1381
3003,ヒューリック(株),1103,1116,1068,1068,1116,1225000,707549,662498871,1.17,12.5,25.29,2.34,42.23,455.97,106800,100,1456,1003
3048,(株)ビックカメラ,1167,1169,1111,1112,1172,1279600,200636,180428297,0.9,10.0,18.76,2.06,59.26,539.08,111200,100,1641,1029
3064,(株)ＭｏｎｏｔａＲＯ,6070,6080,5720,5720,6140,449500,355447,62141000,0.42,24.0,80.73,32.19,70.85,177.71,572000,100,7280,2282
3086,Ｊ．フロント　リテイリング(株),1954,1972,1859,1861,1969,1775400,498970,268119164,1.4,26.0,17.5,1.27,106.34,1464.65,186100,100,2512,1331
3088,(株)マツモトキヨシホールディングス,5800,5830,5530,5530,5830,461400,302138,54636107,1.27,70.0,22.82,1.84,242.38,3001.88,553000,100,6950,3280
3092,(株)スタートトゥデイ,3725,3765,3500,3500,3700,615300,384637,109896300,1.34,47.0,30.17,12.99,116.01,269.51,350000,100,4455,2364
3099,(株)三越伊勢丹ホールディングス,1930,1931,1831,1831,1942,2712100,723223,394987954,0.6,11.0,28.87,1.27,63.43,1438.66,183100,100,2395,1460
3116,トヨタ紡織(株),2001,2001,1880,1882,2022,741700,353187,187665738,1.06,20.0,20.52,1.56,91.71,1203.96,188200,100,2400,1340
3141,ウエルシアホールディングス(株),5770,5780,5500,5520,5820,149500,289296,52408700,0.72,40.0,27.87,3.25,198.08,1698.92,552000,100,6770,3560
3193,(株)鳥貴族,2534,2534,2388,2400,2505,58200,27246,11352300,0.14,3.33,49.14,9.96,48.84,240.97,240000,100,3180,1213
3197,(株)すかいらーく,1801,1816,1778,1789,1873,1679800,347439,194208700,1.68,30.0,24.48,3.58,73.07,500.24,178900,100,1958,1168
3231,野村不動産ホールディングス(株),2270,2284,2184,2184,2278,722200,417965,191375900,2.29,50.0,10.99,1.06,198.77,2056.13,218400,100,2700,1911
3289,東急不動産ホールディングス(株),831,838,810,810,834,2483600,519073,640830974,1.36,11.0,18.61,1.24,43.53,652.71,81000,100,1016,726
3291,飯田グループホールディングス(株),2121,2126,2015,2015,2148,994700,593280,294431639,1.89,38.0,15.79,1.09,127.61,1845.71,201500,100,2459,1421
3349,(株)コスモス薬品,15350,15410,14720,14720,15550,66700,294406,20000400,0.41,60.0,24.91,4.48,590.92,3285.7,1472000,100,19610,13600
3360,シップヘルスケアホールディングス(株),2665,2702,2635,2635,2666,215200,130803,49640700,1.97,52.0,15.68,1.76,168.0,1493.51,263500,100,3070,2366
3382,(株)セブン＆アイ・ホールディングス,5276,5291,5039,5039,5290,2600200,4466781,886441983,1.53,77.0,23.08,1.93,218.31,2610.66,503900,100,5998,4118
3391,(株)ツルハホールディングス,9800,9890,9400,9410,9860,214400,457261,48593068,0.94,88.0,25.18,3.4,373.71,2765.6,941000,100,11890,6840
3402,東レ(株),1076,1078,1034,1034,1072,6817000,1686952,1631481403,1.16,12.0,19.0,1.66,54.43,621.91,1034000,1000,1126,928
3405,(株)クラレ,1417,1429,1395,1395,1435,1460600,495035,354863603,2.87,40.0,12.24,0.99,114.0,1410.83,139500,100,1688,1320
3407,旭化成(株),945,950,916,916,968,6789000,1284937,1402616332,2.18,20.0,12.07,1.16,75.88,788.55,916100,1000,1260,905
3436,(株)ＳＵＭＣＯ,1089,1098,1052,1053,1117,3466400,308830,293285539,1.9,20.0,,1.48,,711.72,105300,100,2458,1001
3512,日本フエルト(株),519,520,509,510,525,10900,10119,19842089,2.55,13.0,12.3,0.61,41.45,829.58,51000,100,589,481
3606,(株)レナウン,155,156,151,151,158,413300,15297,101307449,0.0,0.0,25.46,0.59,5.93,255.96,15100,100,316,108
3626,ＩＴホールディングス(株),2800,2805,2752,2761,2843,616700,242386,87789098,1.2,33.0,18.87,1.31,146.34,2102.69,276100,100,2998,1742
3632,グリー(株),565,570,546,549,572,2029300,132166,240740000,,,,1.35,,406.27,54900,100,880,537
3636,(株)三菱総合研究所,2966,3020,2936,2945,3000,9600,48369,16424080,1.7,50.0,13.82,1.28,213.1,2308.65,294500,100,3215,2653
3639,(株)ボルテージ,1504,1504,1416,1425,1526,135200,7347,5155469,,,18.29,1.95,77.93,731.67,142500,100,3055,968
3641,(株)パピレス,3690,3690,3315,3335,3620,35400,8610,2581720,0.15,5.0,14.29,2.72,233.3,1225.13,333500,100,3950,1800
3656,ＫＬａｂ(株),1410,1424,1310,1342,1440,2485600,50670,37757400,0.0,0.0,,4.98,,269.43,134200,100,2251,1011
3659,(株)ネクソン,1690,1705,1628,1628,1690,1425600,700045,430003117,0.61,10.0,,1.86,,875.63,162800,100,2005,1021
3664,(株)モブキャスト,589,589,550,551,589,436200,8024,14561808,,,,3.29,,167.65,55100,100,1514,503
3668,(株)コロプラ,2184,2194,2016,2019,2189,1286300,252063,124845500,0.69,14.0,14.23,6.56,141.87,307.91,201900,100,2989,1750
3692,(株)ＦＦＲＩ,11910,12100,11100,11300,12100,644300,87286,7724400,0.0,0.0,490.66,100.56,23.03,112.37,1130000,100,18500,4140
3738,(株)ティーガイア,1974,1974,1896,1896,1990,60900,149924,79074000,2.16,41.0,14.49,4.41,130.86,429.99,189600,100,2338,1145
3742,ＩＴｂｏｏｋ(株),1121,1131,1056,1071,1150,494100,17032,15902600,0.0,0.0,97.9,57.92,10.94,18.49,107100,100,2125,412
3765,ガンホー・オンライン・エンターテイメント(株),362,363,346,346,365,3167900,366031,1057892400,,,,4.62,,74.85,34600,100,520,316
3774,(株)インターネットイニシアティブ,2141,2171,2075,2075,2147,146800,96926,46711400,1.06,22.0,23.83,1.51,87.07,1375.64,207500,100,2657,1910
3788,ＧＭＯクラウド(株),795,795,750,755,795,27700,8828,11693000,1.85,14.0,19.11,1.63,39.51,463.25,75500,100,1039,683
3793,(株)ドリコム,800,814,763,763,810,36300,10599,13891000,0.0,0.0,,5.92,,128.84,76300,100,2160,656
3799,キーウェアソリューションズ(株),572,584,557,557,582,33900,5074,9110000,1.8,10.0,12.42,0.84,44.85,666.34,55700,100,914,369
3817,(株)ＳＲＡホールディングス,2190,2195,2102,2112,2195,28100,32187,15240000,3.08,65.0,11.25,1.35,187.79,1563.83,211200,100,2641,1401
3861,王子ホールディングス(株),564,575,552,552,562,6359000,587539,1064381817,1.81,10.0,16.05,0.83,34.4,666.56,552000,1000,606,389
3903,(株)ｇｕｍｉ,1240,1240,1130,1138,1256,638000,33618,29541500,,,,1.98,,575.74,113800,100,2949,1003
3905,データセクション(株),595,596,555,558,593,77000,5754,10312200,0.0,0.0,367.11,5.78,1.52,96.62,55800,100,1730,476
3907,シリコンスタジオ(株),4105,4150,3840,3890,4240,26100,9161,2355000,0.26,10.0,41.78,3.06,93.1,1270.06,389000,100,19660,3350
3911,(株)Ａｉｍｉｎｇ,1307,1321,1151,1166,1277,954000,40028,34329000,0.0,0.0,19.7,5.91,59.2,197.43,116600,100,2283,903
4004,昭和電工(株),139,140,135,136,139,21761000,203607,1497112926,2.21,3.0,19.43,0.62,7.0,219.18,136000,1000,184,132
4021,日産化学工業(株),2790,2801,2693,2693,2794,723000,420108,156000000,1.49,40.0,20.55,2.82,131.03,955.36,269300,100,3060,2023
4042,東ソー(株),553,556,512,515,573,13685000,334833,650161912,1.94,10.0,7.18,1.04,71.72,496.07,515000,1000,829,498
4045,東亞合成(株),886,898,865,865,891,354800,114177,131996299,2.77,24.0,13.4,0.72,64.55,1207.71,86500,100,1146,819
4061,電気化学工業(株),514,514,495,495,517,2237000,230647,465954121,2.53,12.5,11.93,1.08,41.5,459.91,495000,1000,584,419
4063,信越化学工業(株),6613,6630,6401,6401,6673,1200500,2765915,432106693,1.72,110.0,19.47,1.39,328.71,4604.15,640100,100,8310,6360
4088,エア・ウォーター(株),1934,1941,1862,1862,1939,375000,369989,198705057,1.5,28.0,15.86,1.57,117.42,1185.95,1862000,1000,2315,1813
4091,大陽日酸(株),1470,1489,1379,1384,1486,969300,599400,433092837,1.01,14.0,22.18,1.85,62.39,746.19,138400,100,1950,1210
4095,日本パーカライジング(株),1029,1059,1001,1001,1033,215800,132737,132604524,1.5,15.0,12.17,1.07,82.26,935.55,100100,100,1550,974
4114,(株)日本触媒,1846,1855,1804,1804,1872,960000,368016,204000000,1.44,26.0,16.27,1.36,110.87,1328.11,1804000,1000,1942,1503
4116,大日精化工業(株),567,574,548,551,577,175000,51279,93065554,2.54,14.0,7.63,0.67,72.17,826.97,551000,1000,674,507
4151,協和発酵キリン(株),2014,2033,1934,1936,2039,1276000,1116072,576483555,1.29,25.0,40.76,1.74,47.5,1115.83,1936000,1000,2321,1094
4185,ＪＳＲ(株),1900,1944,1881,1902,1908,1756600,452625,237973205,2.63,50.0,14.12,1.22,134.72,1564.05,190200,100,2296,1812
4188,(株)三菱ケミカルホールディングス,693,702,661,663,690,6401400,999723,1506288107,2.11,14.0,14.96,0.96,44.37,693.06,66370,100,847,560
4201,日本合成化学工業(株),863,868,824,826,874,512000,81253,98369186,2.42,20.0,8.47,0.93,97.54,885.77,826000,1000,966,662
4202,(株)ダイセル,1587,1587,1512,1513,1602,1369500,552158,364942682,1.72,26.0,15.19,1.6,99.62,948.2,151300,100,1793,1317
4204,積水化学工業(株),1322,1328,1274,1274,1339,2218000,663126,520507285,2.2,28.0,11.58,1.2,110.06,1059.01,1274000,1000,1752,1246
4205,日本ゼオン(株),997,997,969,969,1008,810000,234571,242075556,1.55,15.0,9.55,1.02,101.42,947.02,969000,1000,1256,959
4206,アイカ工業(株),2574,2585,2497,2497,2585,192400,168774,67590664,1.76,44.0,17.15,1.57,145.58,1586.85,249700,100,2946,2372
4208,宇部興産(株),214,214,208,208,210,15676000,220896,1062001076,2.4,5.0,12.94,0.83,16.07,251.13,208000,1000,246,175
4217,日立化成(株),1850,1854,1789,1789,1866,657500,372765,208364913,,,9.68,1.02,184.89,1754.21,178900,100,2755,1705
4231,タイガースポリマー(株),711,720,682,686,713,25800,13797,20111598,2.04,14.0,8.07,0.53,84.96,1292.57,68600,100,920,639
4272,日本化薬(株),1240,1241,1209,1211,1243,1031000,221012,182503570,2.06,25.0,12.19,1.15,99.34,1057.49,1211000,1000,1682,1141
4283,パナソニック　インフォメーションシステムズ(株),,,,,3775,,40226,10656000,,,,1.41,,2670.74,377500,100,4615,2890
4298,(株)プロトコーポレーション,1769,1769,1720,1725,1779,7400,36122,20940000,2.2,38.0,10.14,1.26,170.11,1364.35,172500,100,2056,1499
4307,(株)野村総合研究所,4880,4900,4690,4690,4925,396300,1055250,225000000,1.71,80.0,23.1,2.3,203.06,2042.94,469000,100,5240,3550
4324,(株)電通,6100,6120,5890,5890,6220,1350900,1698735,288410000,1.19,70.0,,1.64,,3601.83,589000,100,7290,4580
4348,インフォコム(株),1220,1234,1173,1186,1210,78400,34157,28800000,1.69,20.0,12.47,1.59,95.1,747.04,118600,100,1390,882
4452,花王(株),5463,5550,5293,5296,5552,2308200,2669184,504000000,1.44,76.0,30.51,4.08,173.56,1296.54,529600,100,6623,4601
4502,武田薬品工業(株),5946,5946,5700,5700,5962,2613700,4503515,790090295,3.16,180.0,65.8,2.06,86.62,2764.54,570000,100,6657,4904
4503,アステラス製薬(株),1783,1790,1693,1695,1800,8818900,3767101,2221823175,1.89,32.0,21.84,2.77,77.65,611.4,169550,100,2047,1658
4506,大日本住友製薬(株),1292,1307,1250,1250,1296,1802000,497375,397900154,1.44,18.0,27.59,1.08,45.31,1153.3,125000,100,1625,1138
4507,塩野義製薬(株),4750,4795,4550,4555,4760,1181300,1599425,351136165,1.23,56.0,28.52,3.02,159.71,1509.88,455500,100,5520,3060
4508,田辺三菱製薬(株),2160,2160,2049,2054,2172,1222400,1153152,561417916,2.14,44.0,28.45,1.44,72.19,1421.58,205400,100,2277,1701
4519,中外製薬(株),4495,4510,4295,4295,4535,931700,2403851,559685889,1.21,52.0,,3.82,,1123.97,429500,100,5090,2862
4521,科研製薬(株),5750,5830,5480,5500,5730,700000,532837,96879461,1.24,68.0,32.55,5.63,168.98,976.14,5500000,1000,6360,2221
4523,エーザイ(株),8191,8191,7653,7653,8274,1963600,2269627,296566949,1.96,150.0,,3.67,,2087.22,765300,100,9756,4584
4527,ロート製薬(株),2081,2081,2001,2003,2097,349600,236212,117929250,1.0,20.0,25.86,2.05,77.46,977.93,200300,100,2358,1430
4528,小野薬品工業(株),15300,15410,14680,14680,15480,287400,1730001,117847500,1.23,180.0,134.15,3.26,109.43,4509.55,1468000,100,16800,10310
4530,久光製薬(株),4150,4150,4030,4030,4205,577400,383515,95164895,1.99,80.0,18.87,1.55,213.62,2607.97,403000,100,5360,3580
4534,持田製薬(株),7740,7740,7360,7390,7810,60400,155929,21100000,1.83,135.0,20.97,1.45,352.49,5080.28,739000,100,8340,6180
4536,参天製薬(株),1883,1889,1803,1804,1895,1746900,746349,413719015,1.33,24.0,14.21,3.45,126.99,523.35,180400,100,2163,1262
4540,(株)ツムラ,2649,2666,2555,2555,2699,659200,180822,70771662,2.5,64.0,14.77,1.19,172.99,2139.14,255500,100,3125,2523
4543,テルモ(株),3300,3300,3165,3165,3315,1456000,1201942,379760520,1.01,32.0,30.35,2.04,104.27,1552.52,316500,100,3635,2637
4544,みらかホールディングス(株),5200,5210,4990,4990,5210,318100,285443,57202966,2.2,110.0,16.81,1.61,296.85,3092.79,499000,100,6350,4885
4555,沢井製薬(株),7680,7680,7370,7370,7660,243700,281283,38165988,1.49,110.0,17.5,2.34,421.23,3144.13,737000,100,8470,6400
4568,第一三共(株),2318,2333,2194,2194,2337,3515500,1555925,709011343,3.19,70.0,20.54,1.19,106.83,1842.15,219450,100,2769,1556
4569,キョーリン製薬ホールディングス(株),2158,2196,2054,2054,2150,259100,153942,74947628,2.53,52.0,13.21,1.02,155.46,2017.89,205400,100,3040,2004
4572,カルナバイオサイエンス(株),2970,2970,2660,2660,2979,1111700,23575,8862900,0.0,0.0,61.85,11.08,43.01,240.16,266000,100,6030,650
4578,大塚ホールディングス(株),4101,4107,3851,3851,4135,2298800,2148225,557835617,2.6,100.0,26.08,1.23,147.65,3125.47,385100,100,4774,3432
4581,大正製薬ホールディングス(株),7840,7840,7430,7430,7860,115300,669738,90139653,1.35,100.0,27.38,0.94,271.4,7908.87,743000,100,9240,7050
4587,ペプチドリーム(株),3105,3125,2933,2951,3135,347400,163076,55261200,0.0,0.0,193.25,23.63,15.27,124.91,295100,100,3730,2088
4612,日本ペイントホールディングス(株),2466,2466,2372,2372,2496,1027200,771855,325402443,0.93,22.0,23.05,1.63,102.9,1455.77,237200,100,4860,2360
4613,関西ペイント(株),1882,1886,1835,1835,1894,948000,500264,272623270,1.04,19.0,19.55,1.83,93.85,1002.63,1835000,1000,2382,1753
4631,ＤＩＣ(株),289,289,274,275,293,5561000,265477,965372048,2.91,8.0,7.78,1.01,35.35,271.29,275000,1000,382,256
4634,東洋インキＳＣホールディングス(株),456,458,444,445,461,932000,134883,303108724,3.37,15.0,11.06,0.64,40.23,695.89,445000,1000,613,438
4641,(株)アルプス技研,2426,2426,2326,2336,2452,59100,26276,11248489,2.78,65.0,18.09,2.6,129.16,898.76,233600,100,3080,1358
4661,(株)オリエンタルランド,6678,6698,6405,6405,6691,2102700,2329435,363690160,0.55,35.0,29.62,3.72,216.22,1721.06,640500,100,9890,5880
4666,パーク２４(株),2351,2435,2337,2396,2380,1239900,348489,145446204,2.09,50.0,30.28,5.66,79.13,423.62,239600,100,2555,1761
4676,(株)フジ・メディア・ホールディングス,1418,1434,1368,1369,1422,1865500,323672,236429800,2.92,40.0,14.2,0.5,96.43,2748.69,136900,100,1859,1323
4681,リゾートトラスト(株),3230,3320,3120,3120,3230,690900,338579,108518999,1.47,46.0,24.37,3.19,128.04,977.06,312000,100,3800,2596
4684,(株)オービック,5400,5400,5130,5140,5410,202500,511944,99600000,1.46,75.0,22.8,3.02,225.44,1701.35,514000,100,6360,3700
4689,ヤフー(株),485,485,468,470,491,18575100,2676672,5695047300,1.89,8.86,,3.69,,127.34,47000,100,577,394
4704,トレンドマイクロ(株),4300,4325,4180,4180,4315,654600,586425,140293004,,,25.03,3.82,166.98,1093.68,418000,100,4885,3080
4708,(株)もしもしホットライン,1233,1237,1169,1170,1239,256700,81319,69503040,2.48,29.0,26.44,1.91,44.25,611.39,117000,100,1544,1098
4716,日本オラクル(株),5010,5050,4900,4900,5070,107300,623854,127317171,,,,5.52,,887.28,490000,100,5650,4655
4719,(株)アルファシステムズ,1805,1830,1740,1760,1793,10000,26133,14848200,2.27,40.0,16.85,0.85,104.47,2076.56,176000,100,2036,1515
4722,フューチャーアーキテクト(株),702,704,684,697,709,176800,33222,47664000,2.73,19.0,11.24,2.07,62.01,336.8,69700,100,876,613
4726,ソフトバンク・テクノロジー(株),1257,1257,1218,1220,1257,15700,13024,10675400,1.64,20.0,11.83,1.18,103.11,1033.73,122000,100,1494,1092
4732,(株)ユー・エス・エス,2135,2154,2063,2065,2154,541700,646861,313250000,1.98,40.8,22.82,3.71,90.5,556.65,206500,100,2579,1752
4739,伊藤忠テクノソリューションズ(株),2636,2651,2523,2527,2670,454000,303240,120000000,2.57,65.0,16.23,1.71,155.69,1476.57,252700,100,3235,2050
4751,(株)サイバーエージェント,4690,4695,4495,4500,4810,1101000,284460,63213300,1.11,50.0,20.12,4.28,223.61,1051.4,450000,100,7190,4290
4755,楽天(株),1712,1714,1633,1633,1734,6935600,2335940,1430021200,,,,3.53,,462.36,163350,100,2395,1524
4761,(株)さくらケーシーエス,660,660,652,652,654,800,7302,11200000,1.84,12.0,48.69,0.49,13.39,1343.81,65200,100,730,621
4768,(株)大塚商会,6430,6460,6160,6160,6400,278800,585207,95001060,1.54,95.0,24.74,3.56,248.94,1728.42,616000,100,7250,3615
4777,(株)ガーラ,865,865,802,802,875,438800,12636,15755500,0.0,0.0,,12.45,,64.42,80200,100,3475,613
4793,(株)富士通ビー・エス・シー,923,923,893,919,923,3500,10844,11800000,2.94,27.0,15.95,0.62,57.63,1474.3,91900,100,1030,831
4812,ＩＳＩＤ,1445,1451,1406,1406,1452,22600,45823,32591240,1.99,28.0,,1.16,,1212.73,140600,100,1574,1093
4832,ＪＦＥシステムズ(株),1161,1170,1157,1161,1180,3100,9117,7853000,2.58,30.0,9.4,0.9,123.52,1285.36,116100,100,1400,1060
4837,シダックス(株),516,517,511,511,517,14300,20909,40918762,2.94,15.0,33.2,1.1,15.39,462.97,51100,100,578,480
4842,(株)ＵＳＥＮ,327,328,312,316,327,491300,65459,207148891,,,10.85,2.59,29.12,121.87,31600,100,388,295
4901,富士フイルムホールディングス(株),4955,4960,4777,4777,4989,2920300,2458367,514625728,1.36,65.0,19.12,0.91,249.79,5244.72,477700,100,5293,3631
