Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
6367,7328,1,7480,7328,,1,,1,1,,2.0742358079,1
6370,2557,1,2582,2557,,1,,1,1,,0.9777082519,1
6371,858,1,884,858,,1,,1,1,,3.0303030303,1
6395,1471,1,1494,1471,,1,,1,1,,1.5635622026,1
6412,2216,0,2220,2216,,,,,,,0.1805054152,
6417,4445,0,4469,4445,,,,,,,0.5399325084,
6425,2211,1,2247,2211,,1,,1,1,,1.6282225237,1
6448,1602,1,1626,1602,,1,,1,1,,1.4981273408,1
6460,1247,0,1256,1247,,,,,,,0.7217321572,
6463,2828,1,2832,2828,,1,,1,1,,0.1414427157,1
6465,8060,1,8094,8060,,1,,1,1,,0.4218362283,1
6471,1316,1,1327,1316,,1,,1,1,,0.8358662614,1
6473,1839,1,1829,1839,,,,,,,-0.5437737901,1
6474,512,1,521,512,,1,,1,1,,1.7578125,1
6479,1388,1,1409,1388,,1,,1,1,,1.5129682997,1
6481,2080,1,2095,2080,,1,,1,1,,0.7211538462,1
6501,641,1,646,641,,1,,1,1,,0.7800312012,1
6502,316,1,319,316,,1,,1,1,,0.9493670886,1
6503,1169,1,1183,1169,,1,,1,1,,1.1976047904,1
6504,469,1,475,469,,1,,1,1,,1.2793176972,1
6506,1324,1,1346,1324,,1,,1,1,,1.6616314199,1
6586,6970,1,7049,6970,,1,,1,1,,1.1334289813,1
6594,9071,1,9159,9071,,1,,1,1,,0.9701245728,1
6645,4070,1,4129,4070,,1,,1,1,,1.4496314496,1
6651,2155,1,2182,2155,,1,,1,1,,1.252900232,1
6674,454,1,456,454,,1,,1,1,,0.4405286344,1
6702,589,1,595,589,,1,,1,1,,1.0186757216,1
6703,195,1,195,195,,1,,1,1,,0,1
6727,453,1,454,453,,1,,1,1,,0.2207505519,1
6741,1169,0,1169,1169,,,,,,,0,
6752,1326,1,1340,1326,,1,,1,1,,1.0558069382,1
6754,792,0,790,792,,,1,,,,-0.2525252525,
6755,1385,1,1401,1385,,1,,1,1,,1.155234657,1
6758,3115,1,3169,3115,,1,,1,1,,1.7335473515,1
6762,7510,1,7584,7510,,1,,1,1,,0.9853528628,1
6841,1367,1,1388,1367,,1,,1,1,,1.5362106803,1
6856,4095,1,4132,4095,,1,,1,1,,0.9035409035,1
6861,55710,1,56177,55710,,1,,1,1,,0.8382696105,1
6869,6520,1,6569,6520,,1,,1,1,,0.7515337423,1
6902,5635,1,5673,5635,,1,,1,1,,0.6743566992,1
6923,2499,1,2508,2499,,1,,1,1,,0.3601440576,1
6952,2291,1,2310,2291,,1,,1,1,,0.8293321694,1
6954,20200,1,20491,20200,,1,,1,1,,1.4405940594,1
6963,5880,1,5959,5880,,1,,1,1,,1.343537415,1
6971,5848,1,5942,5848,,1,,1,1,,1.6073871409,1
6981,16645,1,17013,16645,,1,,1,1,,2.2108741364,1
6988,7555,1,7676,7555,,1,,1,1,,1.6015883521,1
7003,195,1,195,195,,1,,1,1,,0,1
7011,569,1,576,569,,1,,1,1,,1.230228471,1
7012,466,1,470,466,,1,,1,1,,0.8583690987,1
7013,357,1,359,357,,1,,1,1,,0.5602240896,1
7014,875,1,881,875,,1,,1,1,,0.6857142857,1
7177,757,1,749,757,,,,,,,-1.0568031704,1
7201,1140,1,1153,1140,,1,,1,1,,1.1403508772,1
7202,1294,1,1308,1294,,1,,1,1,,1.0819165379,1
7203,7234,1,7285,7234,,1,,1,1,,0.7050041471,1
7205,1340,1,1355,1340,,1,,1,1,,1.1194029851,1
7211,982,0,978,982,,,1,,,,-0.4073319756,
7240,2793,1,2798,2793,,1,,1,1,,0.179018976,1
7242,355,1,359,355,,1,,1,1,,1.1267605634,1
7245,1052,1,1054,1052,,1,,1,1,,0.1901140684,1
7248,884,1,872,884,,,,,,,-1.3574660633,1
7259,4260,1,4274,4260,,1,,1,1,,0.3286384977,1
7261,1970,1,1969,1970,,,,,,,-0.0507614213,1
7262,1473,1,1485,1473,,1,,1,1,,0.8146639511,1
7267,3799,1,3826,3799,,1,,1,1,,0.7107133456,1
7269,3858,1,3852,3858,,,,,,,-0.1555209953,1
7270,4386,1,4405,4386,,1,,1,1,,0.4331965344,1
7272,2443,1,2454,2443,,1,,1,1,,0.4502660663,1
7276,4085,1,4099,4085,,1,,1,1,,0.3427172583,1
7278,2829,1,2813,2829,,,,,,,-0.5655708731,1
7279,3535,1,3542,3535,,1,,1,1,,0.198019802,1
7280,1920,1,1943,1920,,1,,1,1,,1.1979166667,1
7282,2414,1,2440,2414,,1,,1,1,,1.0770505385,1
7296,1888,1,1891,1888,,1,,1,1,,0.1588983051,1
7309,16990,1,17129,16990,,1,,1,1,,0.8181283108,1
7313,3360,1,3369,3360,,1,,1,1,,0.2678571429,1
7420,826,1,828,826,,1,,1,1,,0.2421307506,1
7451,2705,1,2761,2705,,1,,1,1,,2.0702402957,1
7453,23080,1,23331,23080,,1,,1,1,,1.0875216638,1
7458,4380,0,4375,4380,,,1,,,,-0.1141552511,
7459,1970,1,1983,1970,,1,,1,1,,0.6598984772,1
7483,2307,1,2326,2307,,1,,1,1,,0.8235804075,1
7518,718,1,724,718,,1,,1,1,,0.8356545961,1
7520,1167,1,1165,1167,,,,,,,-0.1713796058,1
7532,10500,1,10261,10500,,,,,,,-2.2761904762,1
7593,694,1,683,694,,,,,,,-1.5850144092,1
7595,1708,1,1716,1708,,1,,1,1,,0.4683840749,1
7606,4620,1,4632,4620,,1,,1,1,,0.2597402597,1
7628,1304,1,1298,1304,,,,,,,-0.4601226994,1
7649,5400,1,5414,5400,,1,,1,1,,0.2592592593,1
7701,1688,1,1696,1688,,1,,1,1,,0.4739336493,1
7731,1467,1,1481,1467,,1,,1,1,,0.9543285617,1
7741,4058,0,4103,4058,,,,,,,1.1089206506,
7751,3600,0,3638,3600,,,,,,,1.0555555556,
