,Code,Prev,Trend,Pred,Close
311,7313,3255,1,3272,3155
312,7420,871,1,872,841
313,7451,2625,1,2585,2617
314,7453,26960,1,26848,26040
315,7458,4595,1,4540,4585
316,7459,2101,1,2103,2016
317,7483,2289,1,2262,2246
318,7518,736,1,735,706
319,7520,1138,1,1155,1074
320,7532,10500,1,10228,10500
321,7593,738,1,743,711
322,7595,1718,1,1716,1677
323,7606,4790,1,4767,4635
324,7628,1394,1,1394,1329
325,7649,5860,1,5820,5580
326,7701,1785,1,1773,1700
327,7731,1555,1,1559,1519
328,7741,4749,1,4735,4434
329,7751,3707,1,3740,3627
330,7752,1185,1,1181,1153
331,7832,2808,1,2823,2732
332,7860,1546,1,1558,1477
333,7936,3550,1,3577,3435
334,7947,4210,1,4232,4040
335,7974,25010,1,24603,23865
336,7988,4740,1,4796,4385
337,8001,1455,1,1468,1416
338,8002,665,1,670,654
339,8012,1466,1,1469,1418
340,8015,2794,1,2798,2708
341,8020,187,1,187,180
342,8028,5620,1,5615,5440
343,8031,1578,1,1588,1552
344,8036,2729,1,2758,2650
345,8043,350,1,348,340
346,8051,950,1,953,944
347,8053,1287,1,1291,1241
348,8056,1287,1,1287,1245
349,8058,2255,1,2275,2199
350,8088,726,1,726,699
351,8114,1688,1,1685,1660
352,8129,2668,1,2688,2576
353,8136,4005,1,3960,3685
354,8137,1128,1,1134,1082
355,8184,2961,1,2958,2856
356,8214,1464,1,1465,1440
357,8218,2704,1,2714,2623
358,8227,11210,1,11313,11040
359,8233,1050,1,1054,987
360,8253,2430,1,2442,2364
361,8267,1821,1,1832,1744
362,8270,754,1,759,731
363,8273,5200,1,5229,4925
364,8282,3870,1,3847,3635
365,8303,262,1,264,254
366,8304,444,1,445,435
367,8306,800,1,809,777
368,8308,613,1,616,594
369,8309,501,1,506,489
370,8316,4964,1,4998,4818
371,8327,337,1,336,323
372,8331,885,1,892,859
373,8332,742,1,748,719
374,8333,649,1,654,634
375,8334,811,1,814,791
376,8354,603,1,602,574
377,8355,1280,1,1291,1238
378,8356,496,1,500,486
379,8358,2326,1,2350,2290
380,8359,838,1,846,816
381,8377,274,1,273,266
