Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio
4708,1171,0,1153,1184,,,1,,,,-2.6182432432
4716,4950,0,4852,5010,,,1,,,,-3.1536926148
4719,1698,0,1670,1712,,,1,,,,-2.453271028
4722,678,0,653,683,,,1,,,,-4.39238653
4726,1207,0,1176,1228,,,1,,,,-4.2345276873
4732,2051,0,2009,2061,,,1,,,,-2.5230470645
4751,4820,1,4854,4745,,,,1,,,2.2971548999
4755,1623,0,1609,1662,,,1,,,,-3.1889290012
4761,643,0,638,661,,,1,,,,-3.4795763994
4768,6500,0,6301,6540,,,1,,,,-3.6544342508
4777,825,1,798,830,,,,,,,-3.8554216867
4793,890,0,880,907,,,1,,,,-2.9768467475
4812,1343,0,1306,1377,,,1,,,,-5.1561365287
4832,1101,0,1110,1190,,,,,,,-6.7226890756
4837,511,0,506,513,,,1,,,,-1.3645224172
4842,312,0,308,308,1,,1,,1,,0
4901,4686,0,4629,4734,,,1,,,,-2.2179974651
4902,1303,0,1286,1299,1,,1,,1,,-1.0007698229
4911,2599,0,2512,2626,,,1,,,,-4.3412033511
4912,1033,0,1026,1056,,,1,,,,-2.8409090909
4922,11360,1,10989,11620,,,,,,,-5.430292599
4927,6800,0,6667,7120,,,1,,,,-6.3623595506
4967,9050,1,9030,9230,,,,,,,-2.1668472373
4968,1105,0,1071,1087,1,,1,,1,,-1.4719411224
5002,1003,0,985,992,1,,1,,1,,-0.7056451613
5012,1120,1,1119,1151,,,,,,,-2.7801911381
5019,1933,0,1925,1949,,,1,,,,-1.2314007183
5020,445,0,438,443,1,,1,,1,,-1.1286681716
5101,1319,1,1336,1319,,1,,1,1,,1.2888551933
5105,2635,0,2583,2655,,,1,,,,-2.7118644068
5108,3945,0,3873,3985,,,1,,,,-2.8105395232
5110,1661,0,1650,1684,,,1,,,,-2.0190023753
5186,2769,0,2768,2802,,,1,,,,-1.2134189864
5196,587,0,577,582,1,,1,,1,,-0.8591065292
5201,727,0,717,709,1,,1,,1,,1.1283497884
5214,533,0,526,530,1,,1,,1,,-0.7547169811
5233,395,0,389,407,,,1,,,,-4.4226044226
5332,1760,0,1768,1795,,,,,,,-1.504178273
5334,2936,0,2898,2960,,,1,,,,-2.0945945946
5393,739,0,734,742,,,1,,,,-1.0781671159
5401,241,0,236,239,1,,1,,1,,-1.2552301255
5411,1859,0,1815,1813,1,,1,,1,,0.110314396
5471,427,0,422,431,,,1,,,,-2.0881670534
5486,1482,0,1477,1502,,,1,,,,-1.6644474035
5631,403,0,394,394,1,,1,,1,,0
5706,244,0,240,240,1,,1,,1,,0
5711,369,0,365,366,1,,1,,1,,-0.2732240437
5713,1433,0,1418,1418,1,,1,,1,,0
5714,1006,0,1001,1013,,,1,,,,-1.1846001974
5802,1612,0,1585,1620,,,1,,,,-2.1604938272
5857,1710,0,1693,1723,,,1,,,,-1.7411491584
5929,927,0,899,897,1,,1,,1,,0.2229654404
5938,2375,0,2354,2389,,,1,,,,-1.4650481373
5947,8660,0,8505,8920,,,1,,,,-4.6524663677
5949,2203,0,2174,2214,,,1,,,,-1.8066847335
5970,1193,0,1176,1200,,,1,,,,-2
5986,299,0,294,302,,,1,,,,-2.6490066225
5991,1137,0,1126,1141,,,1,,,,-1.314636284
6037,2014,0,1955,2210,,,1,,,,-11.5384615385
6093,9100,0,8850,9100,,,1,,,,-2.7472527473
6094,1420,0,1370,1454,,,1,,,,-5.7771664374
6136,2283,0,2229,2327,,,1,,,,-4.2114310271
6146,8970,0,8785,8850,1,,1,,1,,-0.7344632768
6201,5740,0,5596,5840,,,1,,,,-4.1780821918
6256,4380,0,4389,4680,,,,,,,-6.2179487179
6268,2428,0,2388,2404,1,,1,,1,,-0.6655574043
6273,28865,0,28145,29040,,,1,,,,-3.0819559229
6289,1544,0,1499,1545,,,1,,,,-2.9773462783
6301,1962,0,1981,1994,,,,,,,-0.6519558676
6302,514,0,506,516,,,1,,,,-1.9379844961
6305,1705,0,1707,1721,,,,,,,-0.8134805346
6326,1800,0,1772,1824,,,1,,,,-2.850877193
6361,478,0,473,473,1,,1,,1,,0
6366,853,0,842,847,1,,1,,1,,-0.5903187721
6367,7282,0,7104,7269,1,,1,,1,,-2.2699133306
6370,2450,0,2416,2503,,,1,,,,-3.4758290052
6371,909,0,893,909,,,1,,,,-1.7601760176
6395,1602,0,1578,1602,,,1,,,,-1.4981273408
6412,2347,0,2317,2307,1,,1,,1,,0.4334633723
6417,4430,0,4380,4500,,,1,,,,-2.6666666667
6425,2303,0,2218,2332,,,1,,,,-4.8885077187
6448,1621,0,1593,1616,1,,1,,1,,-1.4232673267
6460,1213,0,1196,1264,,,1,,,,-5.3797468354
6463,2751,0,2713,2794,,,1,,,,-2.8990694345
6465,7260,0,7180,7360,,,1,,,,-2.4456521739
6471,1514,0,1509,1519,,,1,,,,-0.6583278473
6473,1670,0,1660,1693,,,1,,,,-1.9492025989
6474,556,0,548,550,1,,1,,1,,-0.3636363636
6479,1527,0,1506,1504,1,,1,,1,,0.1329787234
6481,2106,0,2071,2047,1,,1,,1,,1.1724474841
6501,672,0,663,676,,,1,,,,-1.9230769231
6502,367,0,357,366,1,,1,,1,,-2.4590163934
6503,1174,0,1160,1180,,,1,,,,-1.6949152542
6504,467,0,461,469,,,1,,,,-1.7057569296
6506,1332,0,1312,1339,,,1,,,,-2.0164301718
6586,6700,0,6556,6600,1,,1,,1,,-0.6666666667
6594,9377,0,9033,9482,,,1,,,,-4.7352879139
6645,4445,0,4305,4425,1,,1,,1,,-2.7118644068
6651,2266,0,2234,2255,1,,1,,1,,-0.9312638581
6674,441,0,434,445,,,1,,,,-2.4719101124
6702,560,0,549,565,,,1,,,,-2.8318584071
6703,217,0,215,218,,,1,,,,-1.376146789
6727,420,0,412,426,,,1,,,,-3.2863849765
6741,1082,0,1068,1066,1,,1,,1,,0.1876172608
6752,1286,0,1248,1279,1,,1,,1,,-2.4237685692
6754,767,0,771,777,,,,,,,-0.7722007722
6755,1442,0,1421,1485,,,1,,,,-4.3097643098
6758,2963,0,2899,3051,,,1,,,,-4.9819731236
6762,7480,0,7136,7430,1,,1,,1,,-3.9569313594
6841,1403,0,1396,1361,1,,1,,1,,2.5716385011
6856,4100,0,4037,4135,,,1,,,,-2.3700120919
6861,54310,0,53467,55300,,,1,,,,-3.3146473779
6869,7310,0,7285,7360,,,1,,,,-1.0190217391
6902,5248,0,5197,5254,,,1,,,,-1.0848877046
6923,2304,0,2270,2330,,,1,,,,-2.5751072961
6952,2254,0,2224,2332,,,1,,,,-4.6312178388
6954,19665,0,19208,19320,1,,1,,1,,-0.5797101449
6963,6380,0,6176,6400,,,1,,,,-3.5
6971,5787,0,5676,5907,,,1,,,,-3.9106145251
6981,16955,1,16152,16670,,,,,,,-3.1073785243
6988,8105,0,7765,8151,,,1,,,,-4.7356152619
7003,182,0,179,182,,,1,,,,-1.6483516484
7011,566,0,561,575,,,1,,,,-2.4347826087
7012,449,0,439,448,1,,1,,1,,-2.0089285714
7013,371,0,366,370,1,,1,,1,,-1.0810810811
7014,837,0,814,850,,,1,,,,-4.2352941176
7177,700,0,683,726,,,1,,,,-5.9228650138
7201,1073,0,1046,1064,1,,1,,1,,-1.6917293233
7203,6920,0,6823,7026,,,1,,,,-2.8892684315
7205,1271,0,1243,1279,,,1,,,,-2.8146989836
7211,925,0,898,922,1,,1,,1,,-2.6030368764
7240,2828,0,2788,2948,,,1,,,,-5.4274084125
7242,350,0,347,350,,,1,,,,-0.8571428571
7245,1027,0,1014,1059,,,1,,,,-4.2492917847
7248,788,0,769,793,,,1,,,,-3.026481715
7259,4310,0,4238,4280,1,,1,,1,,-0.9813084112
7261,2032,0,1983,2031,1,,1,,1,,-2.3633677991
7262,1467,0,1452,1464,1,,1,,1,,-0.8196721311
7267,3671,0,3611,3682,,,1,,,,-1.928299837
7269,4038,0,3926,3945,1,,1,,1,,-0.4816223067
7270,4059,0,3932,4067,,,1,,,,-3.3194000492
7272,2231,0,2189,2227,1,,1,,1,,-1.7063313875
7276,3825,0,3780,4025,,,1,,,,-6.0869565217
7278,2666,0,2630,2661,1,,1,,1,,-1.1649755731
7279,3550,0,3525,3620,,,1,,,,-2.6243093923
7280,2061,0,2016,2052,1,,1,,1,,-1.7543859649
7282,2319,0,2287,2342,,,1,,,,-2.3484201537
7296,1786,0,1798,1769,,,,,,,1.6393442623
7309,14730,0,14361,15610,,,1,,,,-8.00128123
7313,3100,0,3087,3175,,,1,,,,-2.7716535433
7420,865,0,836,862,1,,1,,1,,-3.0162412993
7451,2391,0,2379,2443,,,1,,,,-2.6197298404
7453,25020,1,24592,25360,,,,,,,-3.0283911672
7458,4365,0,4310,4355,1,,1,,1,,-1.0332950631
7459,2008,0,1990,2065,,,1,,,,-3.6319612591
7483,2060,0,2039,2060,,,1,,,,-1.0194174757
7518,701,0,682,712,,,1,,,,-4.2134831461
7520,1111,0,1100,1131,,,1,,,,-2.7409372237
7532,10500,1,10228,10500,,,,,,,-2.5904761905
7593,673,0,662,692,,,1,,,,-4.3352601156
7595,1669,0,1649,1686,,,1,,,,-2.1945432977
7606,4670,0,4570,4605,1,,1,,1,,-0.7600434311
7628,1366,0,1359,1364,1,,1,,1,,-0.366568915
7649,5570,0,5540,5740,,,1,,,,-3.4843205575
7701,1675,0,1661,1716,,,1,,,,-3.2051282051
7731,1516,0,1499,1529,,,1,,,,-1.9620667103
7741,4496,0,4425,4695,,,1,,,,-5.750798722
7751,3595,0,3573,3626,,,1,,,,-1.4616657474
7752,1158,1,1152,1157,,,,,,,-0.4321521175
7832,2680,1,2637,2743,,,,,,,-3.8643820634
7860,1500,0,1485,1527,,,1,,,,-2.7504911591
7936,3410,0,3301,3410,,,1,,,,-3.1964809384
7947,4155,1,4057,4170,,,,,,,-2.7098321343
7974,23880,1,23139,23355,,,,,,,-0.9248554913
7988,4570,1,4523,4580,,,,,,,-1.2445414847
8001,1349,0,1334,1372,,,1,,,,-2.7696793003
8002,644,0,635,648,,,1,,,,-2.0061728395
8012,1391,0,1374,1410,,,1,,,,-2.5531914894
8015,2652,0,2627,2673,,,1,,,,-1.720912832
8020,176,0,172,180,,,1,,,,-4.4444444444
8028,5310,0,5285,5430,,,1,,,,-2.6703499079
8031,1489,0,1472,1503,,,1,,,,-2.0625415835
8036,2635,0,2576,2697,,,1,,,,-4.4864664442
8043,340,0,330,343,,,1,,,,-3.7900874636
8051,908,0,895,930,,,1,,,,-3.7634408602
8053,1225,0,1204,1238,,,1,,,,-2.746365105
8056,1253,1,1240,1268,,,,,,,-2.2082018927
8058,2145,0,2114,2162,,,1,,,,-2.2201665125
8088,693,0,680,700,,,1,,,,-2.8571428571
8114,1600,0,1593,1622,,,1,,,,-1.7879161529
8129,2556,0,2528,2636,,,1,,,,-4.0971168437
8136,3795,0,3701,3730,1,,1,,1,,-0.7774798928
8137,1070,0,1040,1088,,,1,,,,-4.4117647059
8184,2876,0,2852,2921,,,1,,,,-2.3622047244
8214,1409,0,1394,1438,,,1,,,,-3.0598052851
8218,2574,0,2554,2658,,,1,,,,-3.9127163281
8227,10970,0,10905,11180,,,1,,,,-2.4597495528
8233,1045,0,1032,1049,,,1,,,,-1.6205910391
8253,2324,0,2289,2400,,,1,,,,-4.625
8267,1775,0,1745,1804,,,1,,,,-3.2705099778
8270,746,0,739,754,,,1,,,,-1.9893899204
8273,5060,0,5008,5080,,,1,,,,-1.4173228346
8282,3745,0,3697,3685,1,,1,,1,,0.3256445047
8303,250,0,244,254,,,1,,,,-3.937007874
