銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
7532,(株)ドンキホーテホールディングス,4305,4505,4260,4415,4440,858700,697212,157918960,0.45,20.0,29.82,3.28,148.06,1344.64,441500,100,5830,3875
7593,ＶＴホールディングス(株),697,735,694,713,711,227900,85119,119381034,2.52,18.0,17.85,2.72,39.95,262.41,71300,100,870,440
7595,(株)アルゴグラフィックス,1658,1715,1658,1668,1677,20500,18534,11111400,3.6,60.0,9.92,0.88,168.16,1887.03,166800,100,2069,1611
7606,(株)ユナイテッドアローズ,4500,4610,4455,4500,4635,201700,170100,37800000,1.73,78.0,19.17,4.57,234.75,983.83,450000,100,5200,3075
7611,(株)ハイデイ日高,2885,2967,2859,2923,2933,24900,58662,20068980,1.23,36.0,22.94,3.39,127.43,862.49,292300,100,3321,2705
7628,(株)オーハシテクニカ,1314,1316,1290,1290,1329,22700,20950,16240040,2.95,38.0,7.02,0.82,183.82,1563.87,129000,100,1770,1248
7649,スギホールディングス(株),5450,5630,5400,5480,5580,193200,347053,63330838,0.73,40.0,25.14,2.72,217.96,2013.38,548000,100,6750,4820
7701,(株)島津製作所,1673,1731,1673,1683,1700,1482000,498286,296070227,0.83,14.0,23.63,2.34,71.22,719.93,1683000,1000,2115,1145
7731,(株)ニコン,1498,1516,1475,1491,1519,4328100,597710,400878921,1.07,16.0,29.58,1.03,50.41,1444.27,149100,100,1809,1383
7741,ＨＯＹＡ(株),4350,4467,4327,4368,4434,1250800,1818625,416304320,,,,3.17,,1376.68,436850,100,5434,3904
7751,キヤノン(株),3591,3718,3582,3658,3627,5215100,4878907,1333763464,,,16.3,1.24,224.37,2950.15,365800,100,4539,3522
7752,(株)リコー,1133,1152,1120,1136,1153,9787500,846593,744912078,3.08,35.0,9.93,0.7,114.5,1630.7,113650,100,1380,1092
7832,(株)バンダイナムコホールディングス,2683,2815,2658,2749,2732,1293100,610278,222000000,0.87,24.0,20.13,1.96,136.56,1399.48,274900,100,3025,2085
7860,エイベックス・グループ・ホールディングス(株),1450,1483,1427,1451,1477,414900,65295,45000000,3.45,50.0,14.6,1.36,99.37,1068.6,145100,100,2514,1427
7936,(株)アシックス,3380,3510,3320,3405,3435,1075400,680874,199962991,0.69,23.5,30.78,3.06,110.63,1112.5,340500,100,4000,2634
7947,(株)エフピコ,3960,4030,3960,3985,4040,88900,176473,44284212,1.56,62.0,19.41,1.93,205.34,2066.16,398500,100,4750,3650
7956,ピジョン(株),2950,3190,2950,3115,3045,1451400,378951,121653486,1.16,36.0,41.92,8.11,74.31,384.08,311500,100,4125,2293
7974,任天堂(株),23300,24535,23210,23770,23865,859000,3367472,141669000,0.63,150.0,81.57,2.38,291.4,9969.88,2377000,100,26050,11140
7988,(株)ニフコ,4375,4495,4350,4405,4385,476100,236788,53754477,2.04,90.0,15.68,1.92,280.96,2292.24,440500,100,5710,3750
8001,伊藤忠商事(株),1361,1389,1352,1363,1416,11268500,2266518,1662889504,3.67,50.0,6.53,0.85,208.8,1606.4,136300,100,1756,1174
8002,丸紅(株),646,650,637,640,654,10517100,1113325,1737940900,3.28,21.0,6.18,0.62,103.72,1026.1,64060,100,750,622
8012,長瀬産業(株),1389,1433,1386,1400,1418,235200,178372,127408285,2.29,32.0,14.7,0.63,95.25,2237.93,140000,100,1736,1349
8015,豊田通商(株),2669,2738,2656,2681,2708,855200,949226,354056516,2.31,62.0,13.47,0.85,199.02,3140.17,268100,100,3525,2526
8020,兼松(株),174,182,174,177,180,3698000,74783,422501010,2.82,5.0,5.96,0.8,29.7,220.61,177000,1000,234,163
8028,(株)ファミリーマート,5360,5520,5350,5390,5440,464300,526512,97683133,2.04,110.0,24.36,1.87,221.23,2882.41,539000,100,6230,4400
8031,三井物産(株),1515,1537,1500,1515,1552,14006000,2721719,1796514127,4.22,64.0,11.32,0.6,133.89,2530.43,151500,100,1759,1445
8036,(株)日立ハイテクノロジーズ,2597,2638,2579,2597,2650,912600,357707,137738730,2.12,55.0,10.38,1.16,250.12,2244.46,259700,100,4120,2401
8043,スターゼン(株),335,340,331,331,340,88000,29048,87759216,2.42,8.0,11.55,0.84,28.67,394.2,331000,1000,444,315
8051,(株)山善,929,994,929,977,944,448800,91682,93840310,2.76,27.0,10.78,1.37,90.62,715.35,97700,100,1185,792
8053,住友商事(株),1223,1238,1205,1208,1241,7116000,1510728,1250602867,4.14,50.0,6.55,0.55,184.32,2187.15,120800,100,1513,1116
8056,日本ユニシス(株),1228,1265,1213,1227,1245,450700,134557,109663524,2.44,30.0,13.58,1.45,90.38,846.64,122700,100,1387,990
8058,三菱商事(株),2155,2197,2140,2147,2199,6653600,3414690,1590076851,2.61,56.0,9.66,0.57,222.42,3788.09,214750,100,2837,2000
8088,岩谷産業(株),680,704,677,690,699,1156000,173442,251365028,1.01,7.0,15.44,1.51,44.7,457.55,690000,1000,854,655
8113,ユニ・チャーム(株),2276,2359,2270,2315,2346,3494800,1437231,620834319,0.64,14.8,31.62,3.48,73.22,664.7,231500,100,3398,2270
8114,(株)デサント,1629,1743,1614,1708,1660,214100,131386,76924176,1.0,17.0,17.63,1.97,96.9,865.78,170800,100,2055,1063
8129,東邦ホールディングス(株),2539,2700,2523,2660,2576,485500,208199,78270142,0.98,26.0,18.01,1.18,147.68,2259.69,266000,100,3180,1612
8136,(株)サンリオ,3600,3675,3540,3580,3685,881900,318854,89065301,2.23,80.0,27.13,4.91,131.95,729.58,358000,100,4320,2827
